name,category,address,hours,rating,avg_bill,middle_coffee_cup
Theobroma,кофейня,"Санкт-Петербург, ул. Большая Зеленина 34",Пн–Вс: C 13:00 — до последнего гостя,8.8,Средний чек 1600 р. без напитков,
Астаманьяна,кофейня,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1000 р. без напитков,
Caribia,кофейня,"Санкт-Петербург, ул. 2-я Советская 12","Пн–Чт: 10:00 — 23:00, Пт–Сб: 10:00 — 00:00, Вс: 10:00 — 23:00",9.5,Средний чек 1500 р. без напитков,
Рок остров,кофейня,"Санкт-Петербург, ул. Кирочная 8а","Пн–Пт: 08:00 — 20:00, Сб–Вс: 09:00 — 20:00",0,Средний чек 300 р. без напитков,
Тройка,кофейня,"Санкт-Петербург, пр. Загородный  27",Пн–Вс: 09:00 — 21:00,9.3,,
Midi Modi,кофейня,"Санкт-Петербург, ул. Некрасова 40",Пн–Вс: 10:00 — 00:00,7.6,Средний чек 700 р. без напитков,
Кофейня №1,кофейня,"Санкт-Петербург, пер. Кирпичный 3","Пн–Чт: 10:00 — 23:30, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 23:30",8.4,Средний чек 1000 р. без напитков,
Хороший день,кофейня,"Санкт-Петербург, пр. Римского-Корсакова 31",Пн–Вс: 08:00 — 21:00,10,Средний чек 600 р. без напитков,
Civil,кофейня,"Санкт-Петербург, ул. 8-я Советская 4","Пн–Чт: 09:00 — 21:00, Пт–Сб: 09:00 — 22:00, Вс: 09:00 — 21:00",8.3,Средний чек 500 р. без напитков,
Peche,кофейня,"Санкт-Петербург, ул. Маяковского 56",Пн–Вс: 09:00 — 23:00,8.1,Средний чек 1000 р. без напитков,
Bonch,кофейня,"Санкт-Петербург, ул. Б. Морская 16","Пн–Пт: 09:00 — 23:00, Сб–Вс: 11:00 — 23:00",7.6,Средний чек 500 р. без напитков,
Нежно,кофейня,"Санкт-Петербург, ул. Большая Зеленина 21","Пн: 10:00 — 21:00, Вт: 11:00 — 21:00, Ср–Вс: 10:00 — 21:00",9,Средний чек 300 р. без напитков,
Смена,кофейня,"Санкт-Петербург, пер. Басков 20","Пн–Пт: 09:00 — 20:00, Сб–Вс: 11:00 — 20:00",8.9,Средний чек 1000 р. без напитков,
Mer Kaffe,кофейня,"Санкт-Петербург, Большой пр. В.О 18",Пн–Вс: 08:30 — 22:00,8.2,Средний чек 900 р. без напитков,
Вкус искусства,кофейня,"Санкт-Петербург, Суворовский пр. 15",Пн–Вс: 10:00 — 22:00,8.2,Средний чек 1000 р. без напитков,
Gran,кофейня,"Санкт-Петербург, ул. Гороховая 46","Пн–Пт: 09:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.5,Средний чек 1100 р. без напитков,
ТЧК,кофейня,"Санкт-Петербург, пр-т Каменноостровский 18/11","Пн–Пт: 08:30 — 21:00, Сб–Вс: 10:00 — 21:00",9.3,Средний чек 250 р. без напитков,
Mountain Coffee,кофейня,"Санкт-Петербург, ул. Моисеенко 27",,9.1,Средний чек 500 р. без напитков,
Sibaristica,кофейня,"Санкт-Петербург, наб. Обводного канала 199","Пн–Пт: 08:30 — 21:00, Сб–Вс: 10:00 — 21:00",9.2,Средний чек 1100 р. без напитков,
2A Concept,кофейня,"Санкт-Петербург, ул. Гороховая 49",Пн–Вс: 09:00 — 22:00,8.6,Средний чек 500 р. без напитков,
Coffee 3,кофейня,"Санкт-Петербург, наб. реки Карповки 5АК","Пн–Чт: 10:00 — 22:00, Пт–Сб: 10:00 — 23:00, Вс: 10:00 — 22:00",8,Средний чек 400 р. без напитков,
Chloe Cafe,кофейня,"Санкт-Петербург, В.О. пр. Малый 9","Пн–Пт: 10:00 — 22:00, Сб–Вс: 10:00 — 23:00",8.2,Средний чек 500 р. без напитков,
Щегол,кофейня,"Санкт-Петербург, ул. Радищева 38/20","Пн–Пт: 09:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.7,Средний чек 250 р. без напитков,
Британские пекарни,кофейня,"Санкт-Петербург, пр. Новочеркасский 41",Пн–Вс: 10:00 — 22:00,7.8,Средний чек 350 р. без напитков,
Le Moniteur,кофейня,"Санкт-Петербург, В.О. Кадетская линия 31","Пн–Сб: 10:00 — 20:00, Вс: 11:00 — 20:00",8.8,Средний чек 550 р. без напитков,
Skuratov Coffee,кофейня,"Санкт-Петербург, ул. Малая Конюшенная 14",Пн–Вс: 06:55 — 23:05,8.6,Средний чек 300 р. без напитков,
