name,category,address,hours,rating,avg_bill,middle_coffee_cup
T.B.K.Lounge,Ресторан,"Новосибирск , Золотодолинская , 11",пн - вс 12.00 – 0.00,9.0,1700 – 3000 рублей средний чек,
Beerman & Grill,"бар, паб","Новосибирск , Вокзальная магистраль , 1 , Marins Park Hotel Novosibirsk , 1 этаж",пн - вс 12.00 – 2.30,8.6,700 – 1700 рублей средний чек,
Clever,Паб,"Новосибирск , Морской просп., 54",пн - вс 12.00 – 3.00,8.0,700 – 1700 рублей средний чек,
Коляда,Ресторан,"Новосибирск , Жуковского , 123",пн - вс 10.00 – 23.00,8.0,700 – 1700 рублей средний чек,
Friends,Бар,"Новосибирск , Красный просп., 22","пн - чт , вс 18.00 – 3.00 , пт - сб 18.00 – 6.00",7.7,700 – 1700 рублей средний чек,
Park Café,Кафе,"Новосибирск , Красный просп., 25 / 1 , 1 этаж","пн - чт 8.00 – 23.00 , пт 8.00 – 0.00 , сб 9.00 – 0.00 , вс 9.00 – 23.00",7.2,700 – 1700 рублей средний чек,
Ruby Aperitifs and Wines,Бар,"Новосибирск , Ленина , 9","пн - чт 16.00 – 1.00 , пт 16.00 – 2.00 , сб 13.00 – 2.00 , вс 13.00 – 1.00",7.0,700 – 1700 рублей средний чек,
Кардамон,Кофейня,"Новосибирск , Чаплыгина , 39",пн - вс 10.00 – 23.00,6.9,700 – 1700 рублей средний чек,
Shisha,Караоке,"Новосибирск , Красный просп., 28 , 1 этаж","пн - чт , вс 12.00 – 4.00 , пт - сб 12.00 – 6.00",6.7,700 – 1700 рублей средний чек,
Capriccio,Ресторан,"Новосибирск , Ленина , 10 , ТЦ « Пассаж », 1 этаж","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",6.4,700 – 1700 рублей средний чек,
Pub 501,Паб,"Новосибирск , Ленина , 20",пн - вс 11.00 – 23.00,6.4,700 – 1700 рублей средний чек,
Puppen Haus,Ресторан,"Новосибирск , Чаплыгина , 65 / 1",пн - вс 12.00 – 0.00,6.4,700 – 1700 рублей средний чек,
Баранжар,Ресторан,"Новосибирск , Советская , 18 , 1 этаж",пн - вс 12.00 – 0.00,6.4,700 – 1700 рублей средний чек,
Ассоль,Столовая,"Новосибирск , Комсомольский просп., 24",пн - пт 8.00 – 18.00,6.0,До 700 рублей средний чек,
Баттерфляй,Кондитерская,"Новосибирск , Красный просп., 49","пн - пт 8.30 – 21.00 , сб - вс 10.00 – 21.00",6.0,,
Кофемолка,Кофейня,"Новосибирск , Красный просп., 65а",пн - вс 8.00 – 23.00,6.0,700 – 1700 рублей средний чек,
Соседи,Ресторан,"Новосибирск , Красный просп., 22","пн - чт 12.00 – 23.00 , пт 12.00 – 0.00 , сб 13.00 – 0.00 , вс 13.00 – 23.00",6.0,700 – 1700 рублей средний чек,
Ухо и медведь,Караоке,"Новосибирск , Советская , 33","вт - чт , вс 19.00 – 4.00 , пт - сб 9.00 – 8.00",5.7,1700 – 3000 рублей средний чек,
Шемрок Restopub,Гастропаб,"Новосибирск , Нарымская , 23","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",5.7,700 – 1700 рублей средний чек,
Beerman & Пельмени,Ресторан,"Новосибирск , Каменская , 7 , БЦ Hilton",пн - вс 12.00 – 0.00,4.9,700 – 1700 рублей средний чек,
Сибирьсибирь,Ресторан,"Новосибирск , Ленина , 21 , гостиница « Azimut Сибирь », 1 этаж",пн - вс 12.00 – 0.00,4.6,1700 – 3000 рублей средний чек,
Агарта,Кафе,"Новосибирск , просп.Карла Маркса , 53а , цокольный этаж",вт - вс 10.00 – 1.00,4.0,700 – 1700 рублей средний чек,
Чашка кофе,Кофейня,"Новосибирск , Красный просп., 22",пн - вс 7.00 – 3.00,4.0,700 – 1700 рублей средний чек,
Чашка кофе,Кофейня,"Новосибирск , Морской просп., 54","пн - чт , вс 7.30 – 1.00 , пт - сб 7.30 – 2.30",4.0,700 – 1700 рублей средний чек,
Шинок у Вакулы,Ресторан,"Новосибирск , Нарымская , 17 / 2","пн - пт 11.00 – 0.00 , сб - вс 12.00 – 0.00",4.0,700 – 1700 рублей средний чек,
Якитория,Ресторан,"Новосибирск , Серебренниковская , 34 , 1 этаж","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",3.6,700 – 1700 рублей средний чек,
St Patrick ' s Corner,Паб,"Новосибирск , Ленина , 8",пн - вс 12.00 – 2.00,2.7,700 – 1700 рублей средний чек,
Скоморохи,Кафе,"Новосибирск , Челюскинцев , 21",пн - вс 12.00 – 1.00,2.3,700 – 1700 рублей средний чек,
Старая Прага,"бар, паб","Новосибирск , Красный просп., 64",пн - вс 12.00 – 2.00,2.0,700 – 1700 рублей средний чек,
Тифлис,Ресторан,"Новосибирск , Советская , 65 , цокольный этаж",пн - вс 11.00 – 23.00,2.0,700 – 1700 рублей средний чек,
100 друзей,Караоке,"Новосибирск , Красный просп., 50 , цокольный этаж","пн , чт , вс 20.00 – 4.00 , пт - сб 20.00 – 6.00",,700 – 1700 рублей средний чек,
10 Ten,Ресторан,"Новосибирск , Орджоникидзе , 31 , Novosibirsk Marriott Hotel , 10 этаж","пн - чт , вс 17.00 – 0.00 , пт - сб 17.00 – 2.00",,1700 – 3000 рублей средний чек,
