name,category,address,hours,rating,avg_bill,middle_coffee_cup
The Legends,Ресторан / Новое,"Санкт - Петербург , Садовая , 62","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 2.00",,1700 – 3000 рублей средний чек,
Fresa ' s,Ресторан,"Санкт - Петербург , Вознесенский просп., 6",пн - вс 9.00 – 0.00,,1700 – 3000 рублей средний чек,
Garage,Паб,"Санкт - Петербург , Бухарестская , 30 , ТРК « Континент », 4 этаж","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
Juno,Ресторан,"Санкт - Петербург , Казанская , 46","пн - чт , вс 11.30 – 23.30 , пт - сб 11.30 – 1.00",,700 – 1700 рублей средний чек,
Neon Bar,Бар,"Санкт - Петербург , Банковский пер., 3",пн - вс 15.00 – 6.00,,700 – 1700 рублей средний чек,
Prosa,Кафе,"Санкт - Петербург , наб.канала Грибоедова , 5",пн - вс 10.00 – 23.00,,700 – 1700 рублей средний чек,
Wine & Dine,Ресторан,"Санкт - Петербург , Петроградская наб., 8","пн - ср , вс 11.00 – 23.00 , чт 11.00 – 0.00 , пт - сб 11.00 – 1.00",,1700 – 3000 рублей средний чек,
Вах ! Вах !,Ресторан / Новое,"Санкт - Петербург , Восстания , 55","пн - чт , вс 10.00 – 23.00 , пт - сб 10.00 – 23.30",,1700 – 3000 рублей средний чек,
Игристые,Ресторан,"Санкт - Петербург , пер.Гривцова , 13 / 11","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
Duo,Ресторан,"Санкт - Петербург , Кирочная , 8а","пн - чт , вс 13.00 – 0.00 , пт - сб 13.00 – 1.00",9.8,700 – 1700 рублей средний чек,
Бекицер,Ресторан,"Санкт - Петербург , Рубинштейна , 40 / 11 , 1 этаж","пн - чт 12.00 – 1.00 , пт 12.00 – 6.00 , сб 11.00 – 6.00 , вс 11.00 – 1.00",9.1,700 – 1700 рублей средний чек,
Русская рыбалка,Ресторан,"Санкт - Петербург , пос.Комарово , Приморское ш., 452а",пн - вс 12.00 – 23.00,9.1,1700 – 3000 рублей средний чек,
Тепло,Ресторан,"Санкт - Петербург , Б.Морская , 45","пн - пт , вс 9.00 – 0.00 , сб 12.00 – 0.00",9.1,700 – 1700 рублей средний чек,
Zoom,Ресторан,"Санкт - Петербург , Гороховая , 22",пн - вс 12.00 – 0.00,9.0,700 – 1700 рублей средний чек,
Tartarbar,Кафе,"Санкт - Петербург , Виленский пер., 15","пн - чт , вс 13.00 – 0.00 , пт - сб 13.00 – 1.00",9.0,700 – 1700 рублей средний чек,
Duo Asia,Ресторан,"Санкт - Петербург , Рубинштейна , 20","пн - чт , вс 13.00 – 0.00 , пт - сб 13.00 – 1.00",9.0,700 – 1700 рублей средний чек,
Charlie,Ресторан,"Санкт - Петербург , наб.канала Грибоедова , 54","пн - чт 9.00 – 22.00 , пт - вс 9.00 – 23.00",9.0,1700 – 3000 рублей средний чек,
Italia,Ресторан,"Санкт - Петербург , просп.Бакунина , 5","пн - пт 9.00 – 2.00 , сб - вс 10.00 – 2.00",8.9,700 – 1700 рублей средний чек,
Траппист,"бар, паб","Санкт - Петербург , Радищева , 36","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",8.8,1700 – 3000 рублей средний чек,
O ' Hooligans,Паб,"Санкт - Петербург , просп.Бакунина , 5","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",8.8,700 – 1700 рублей средний чек,
Пицца 22 см,Ресторан,"Санкт - Петербург , Жуковского , 45","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 23.30",8.8,700 – 1700 рублей средний чек,
Русская рыбалка,Ресторан,"Санкт - Петербург , Южная дорога , 11","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",8.8,1700 – 3000 рублей средний чек,
Пышечная,Кафе,"Санкт - Петербург , Б.Конюшенная , 25",пн - вс 9.00 – 20.00,8.7,,
Чайный дом,Кафе,"Санкт - Петербург , Рубинштейна , 24",пн - вс 11.00 и до последнего посетителя,8.7,700 – 1700 рублей средний чек,
Coffee 22,Кофейня,"Санкт - Петербург , Казанская , 22","пн - пт 8.30 – 23.00 , сб - вс 10.00 – 23.00",8.7,700 – 1700 рублей средний чек,
Centrale,Ресторан,"Санкт - Петербург , Караванная , 7",пн - вс 10.00 – 0.00,8.7,700 – 1700 рублей средний чек,
Wood Bar,Бар,"Санкт - Петербург , Марата , 34","пн - чт 10.00 – 23.00 , пт 10.00 – 2.00 , сб 12.00 – 2.00 , вс 12.00 – 23.00",8.7,До 700 рублей средний чек,
Co - op Garage,Ресторан,"Санкт - Петербург , Гороховая , 47","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",8.7,До 700 рублей средний чек,
Camorra pizza e birra,Ресторан,"Санкт - Петербург , Ковенский пер., 14 , во дворе Late Breakfast Hostel","пн - пт 13.00 – 23.00 , сб - вс 13.00 – 23.00",8.7,700 – 1700 рублей средний чек,
The Hat Bar,Бар,"Санкт - Петербург , Белинского , 9",пн - вс 19.00 – 23.00,8.6,,
Общество чистых тарелок,Ресторан,"Санкт - Петербург , Гороховая , 13",пн - вс 11.00 – 1.00,8.6,700 – 1700 рублей средний чек,
Schengen,Кафе,"Санкт - Петербург , Кирочная , 5",пн - вс 12.00 – 21.15,8.6,700 – 1700 рублей средний чек,
El copitas,Бар,"Санкт - Петербург , Колокольная , 2","чт 19.00 – 2.00 , пт - сб 19.00 – 4.00",8.6,700 – 1700 рублей средний чек,
Venezia,Кофейня,"Санкт - Петербург , Невский просп., 107","пн - пт 9.00 – 23.00 , сб - вс 10.00 – 23.00",8.6,До 700 рублей средний чек,
