name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
wowфли,кафе,улица дыбенко 7/1,"ежедневно,10:00–22:00",10.0,,,,,0,,Москва,,-1.0
четыре комнаты,ресторан,улица дыбенко 36 корп. 1,"ежедневно,10:00–22:00",9.0,выше среднего,средний счёт:1500–1600 ₽,1550.0,,0,4.0,Москва,1500.0,1600.0
хазри,кафе,клязьминская улица 15,"пн-чт 11:00–02:00; пт,сб 11:00–05:00; вс 11:00–02:00",9.2,средние,средний счёт:от 1000 ₽,1000.0,,0,45.0,Москва,1000.0,-1.0
dormouse coffee shop,кофейня,улица маршала федоренко 12,"ежедневно,09:00–22:00",10.0,,цена чашки капучино:155–185 ₽,,170.0,0,,Москва,155.0,185.0
иль марко,пиццерия,правобережная улица 1б,"ежедневно,10:00–22:00",10.0,средние,средний счёт:400–600 ₽,500.0,,0,148.0,Москва,400.0,600.0
sergio pizza,пиццерия,ижорская улица вл8б,"ежедневно,10:00–23:00",9.2,средние,,,,0,,Москва,,-1.0
огни города,"бар, паб",клязьминская улица 9 стр. 3,пн 15:00–04:00; вт-вс 15:00–05:00,8.8,средние,средний счёт:199 ₽,199.0,,0,45.0,Москва,199.0,-1.0
mr. уголек,быстрое питание,клязьминская улица 9 стр. 3,"пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",9.4,средние,средний счёт:200–300 ₽,250.0,,0,45.0,Москва,200.0,300.0
donna maria,ресторан,дмитровское шоссе 107 корп. 4,"ежедневно,10:00–22:00",9.6,средние,средний счёт:от 500 ₽,500.0,,0,79.0,Москва,500.0,-1.0
готика,кафе,ангарская улица 39,"ежедневно,12:00–00:00",8.6,средние,средний счёт:1000–1200 ₽,1100.0,,0,65.0,Москва,1000.0,1200.0
great room bar,"бар, паб",левобережная улица 12,"ежедневно,круглосуточно",9.0,средние,цена бокала пива:250–350 ₽,,,0,102.0,Москва,250.0,350.0
шашлык шефф,кафе,улица маршала федоренко 10с1,"ежедневно,10:00–21:00",9.8,,,,,0,,Москва,,-1.0
заправка,кафе,мкад 80-й километр 1,вт-сб 09:00–18:00,8.6,средние,средний счёт:330 ₽,330.0,,0,,Москва,330.0,-1.0
буханка,булочная,базовская улица 15 корп. 1,"ежедневно,08:00–22:00",9.6,,,,,0,180.0,Москва,,-1.0
у сильвы,"бар, паб",ангарская улица 42с1,"ежедневно,13:00–00:00",8.4,выше среднего,средний счёт:1500 ₽,1500.0,,0,,Москва,1500.0,-1.0
дом обеда,столовая,улица бусиновская горка 2,пн-пт 08:30–18:30; сб 10:00–20:00,8.2,средние,средний счёт:300–500 ₽,400.0,,0,180.0,Москва,300.0,500.0
база стритфуд,кафе,базовская улица 15 корп. 8,"ежедневно,10:00–23:00",8.4,средние,средний счёт:140–350 ₽,245.0,,0,,Москва,140.0,350.0
чайхана беш-бармак,ресторан,ленинградское шоссе 71б стр. 2,"ежедневно,круглосуточно",8.8,средние,средний счёт:350–500 ₽,425.0,,0,96.0,Москва,350.0,500.0
час-пик,столовая,коровинское шоссе 30а,"ежедневно,09:00–21:00",8.6,средние,средний счёт:200–300 ₽,250.0,,0,25.0,Москва,200.0,300.0
пекарня,булочная,ижорский проезд 5,"ежедневно,круглосуточно",8.8,,,,,0,,Москва,,-1.0
чебуреки манты,кафе,правобережная улица 1б,"ежедневно,10:00–22:00",8.6,,,,,0,148.0,Москва,,-1.0
